"","Simulation","PosteriorProbs","Model"
"199","exp_n118.posterior_probs",0.0518106129452394,"gamma"
"200","exp_n118.posterior_probs",0.0101526637661056,"hill"
"201","exp_n118.posterior_probs",0.0485108452366818,"log-logistic"
"202","exp_n118.posterior_probs",0.252240226789037,"log-probit"
"203","exp_n118.posterior_probs",0.397521117748456,"logistic"
"204","exp_n118.posterior_probs",9.75193875938412e-05,"multistage"
"205","exp_n118.posterior_probs",0.0232855871741613,"probit"
"206","exp_n118.posterior_probs",5.79085324885306e-05,"qlinear"
"207","exp_n118.posterior_probs",0.216323518420237,"weibull"
"208","exp_n119.posterior_probs",0.0931608573876133,"gamma"
"209","exp_n119.posterior_probs",0.0337394865371482,"hill"
"210","exp_n119.posterior_probs",0.0968643445503706,"log-logistic"
"211","exp_n119.posterior_probs",0.475839307305873,"log-probit"
"212","exp_n119.posterior_probs",0,"logistic"
"213","exp_n119.posterior_probs",0.000397679950878265,"multistage"
"214","exp_n119.posterior_probs",0.0553884670874064,"probit"
"215","exp_n119.posterior_probs",0.0016653433782912,"qlinear"
"216","exp_n119.posterior_probs",0.242944513802419,"weibull"
"217","exp_n12.posterior_probs",0.0992751738765548,"gamma"
"218","exp_n12.posterior_probs",0.0794173570266296,"hill"
"219","exp_n12.posterior_probs",0.0749501379572651,"log-logistic"
"220","exp_n12.posterior_probs",0.139873959062379,"log-probit"
"221","exp_n12.posterior_probs",0.0408950016827075,"logistic"
"222","exp_n12.posterior_probs",0.0101056873229843,"multistage"
"223","exp_n12.posterior_probs",0.118716362847626,"probit"
"224","exp_n12.posterior_probs",0.36455702260615,"qlinear"
"225","exp_n12.posterior_probs",0.0722092976177042,"weibull"
"226","exp_n120.posterior_probs",0.0628178384442412,"gamma"
"227","exp_n120.posterior_probs",0.0190441945235577,"hill"
"228","exp_n120.posterior_probs",0.0664300871220075,"log-logistic"
"229","exp_n120.posterior_probs",0.266200274718697,"log-probit"
"230","exp_n120.posterior_probs",0.398841906543296,"logistic"
"231","exp_n120.posterior_probs",0.00044875095691299,"multistage"
"232","exp_n120.posterior_probs",0.0386959735575865,"probit"
"233","exp_n120.posterior_probs",0.000459869618200367,"qlinear"
"234","exp_n120.posterior_probs",0.147061104515501,"weibull"
"235","exp_n121.posterior_probs",0.0724492157879141,"gamma"
"236","exp_n121.posterior_probs",0.0509779488102789,"hill"
"237","exp_n121.posterior_probs",0.191782317263234,"log-logistic"
"238","exp_n121.posterior_probs",0.218440748579722,"log-probit"
"239","exp_n121.posterior_probs",0.200179520531724,"logistic"
"240","exp_n121.posterior_probs",0.0016790947713942,"multistage"
"241","exp_n121.posterior_probs",0.146036453931369,"probit"
"242","exp_n121.posterior_probs",0.00874113895748832,"qlinear"
"243","exp_n121.posterior_probs",0.109713561366876,"weibull"
"244","exp_n122.posterior_probs",0.0169223457095963,"gamma"
"245","exp_n122.posterior_probs",0.0725939697703838,"hill"
"246","exp_n122.posterior_probs",0.19303433088212,"log-logistic"
"247","exp_n122.posterior_probs",0.118810126563669,"log-probit"
"248","exp_n122.posterior_probs",0.0349672889822649,"logistic"
"249","exp_n122.posterior_probs",0.00584576243883991,"multistage"
"250","exp_n122.posterior_probs",0.191658926432625,"probit"
"251","exp_n122.posterior_probs",0.29616983445853,"qlinear"
"252","exp_n122.posterior_probs",0.0699974147619711,"weibull"
"253","exp_n123.posterior_probs",0.0761687396392706,"gamma"
"254","exp_n123.posterior_probs",0.0830499482457108,"hill"
"255","exp_n123.posterior_probs",0.104751481899044,"log-logistic"
"256","exp_n123.posterior_probs",0.142167330274558,"log-probit"
"257","exp_n123.posterior_probs",0.0470541038060569,"logistic"
"258","exp_n123.posterior_probs",0.0110783800692779,"multistage"
"259","exp_n123.posterior_probs",0.156533581154596,"probit"
"260","exp_n123.posterior_probs",0.306009121763369,"qlinear"
"261","exp_n123.posterior_probs",0.0731873131481173,"weibull"
"262","exp_n124.posterior_probs",0.0908515937538737,"gamma"
"263","exp_n124.posterior_probs",0.0837911929035102,"hill"
"264","exp_n124.posterior_probs",0.123577614956926,"log-logistic"
"265","exp_n124.posterior_probs",0.144572433559204,"log-probit"
"266","exp_n124.posterior_probs",0.0537410207914515,"logistic"
"267","exp_n124.posterior_probs",0.0092508023803388,"multistage"
"268","exp_n124.posterior_probs",0.1740317373217,"probit"
"269","exp_n124.posterior_probs",0.248618474002742,"qlinear"
