"","set","Dose","N","Effect"
"362","exp_n109",0.825449412684042,30,6
"363","exp_n109",0.833986829786734,30,16
"364","exp_n109",0.849631555447768,5,0
"365","exp_n109",0.891962997411152,30,24
"366","exp_n109",0.916093472564032,17,2
"367","exp_n109",0.933679895461149,30,30
"368","exp_n109",0.944068425232565,36,2
"369","exp_n109",0.952245188773308,30,13
"370","exp_n109",0.952647123099366,30,1
"371","exp_n109",0.953334331202362,30,2
"372","exp_n109",0.958643979652359,30,1
"373","exp_n109",0.969782463854639,30,19
"374","exp_n109",0.971630712273709,30,17
"375","exp_n109",0.972962081304374,30,27
"376","exp_n109",0.999282718196682,30,29
"377","exp_n109",1.00958989736718,30,22
"378","exp_n11",0,262,13
"379","exp_n11",0.591402312945281,30,1
"380","exp_n11",0.671872227747551,30,6
"381","exp_n11",0.708115324483409,30,19
"382","exp_n11",0.722026353623919,30,4
"383","exp_n11",0.734753701096011,30,0
"384","exp_n11",0.741523945513102,30,30
"385","exp_n11",0.754228346013552,30,8
"386","exp_n11",0.758073467195889,3,3
"387","exp_n11",0.768015438328968,30,2
"388","exp_n11",0.777209821974115,30,30
"389","exp_n11",0.778401941482955,30,5
"390","exp_n11",0.784296777984674,30,17
"391","exp_n11",0.78772715305053,30,5
"392","exp_n11",0.794240167041893,30,25
"393","exp_n11",0.798207550020474,30,13
"394","exp_n11",0.806905312938331,30,16
"395","exp_n11",0.830003494552066,5,0
"396","exp_n11",0.896105706400133,17,5
"397","exp_n11",0.904742990910503,30,1
"398","exp_n11",0.91159877346751,30,3
"399","exp_n11",0.922451625809738,36,2
"400","exp_n11",0.948400868250223,30,9
"401","exp_n11",0.957300296075622,30,13
"402","exp_n11",0.963789460618311,30,3
"403","exp_n11",0.982523653332234,30,18
"404","exp_n11",0.985228099014202,30,27
"405","exp_n11",1.02212190883613,30,19
"406","exp_n11",1.03273850323548,30,27
"407","exp_n110",0,262,11
"408","exp_n110",0.635040677009543,30,3
"409","exp_n110",0.664813451719732,30,2
"410","exp_n110",0.693957233648011,30,26
"411","exp_n110",0.707054136879304,30,0
"412","exp_n110",0.709558486325068,30,26
"413","exp_n110",0.731818987025151,30,6
"414","exp_n110",0.73892606696134,30,5
"415","exp_n110",0.741791239899438,30,30
"416","exp_n110",0.74697239369835,30,3
"417","exp_n110",0.761850871991271,30,8
"418","exp_n110",0.767462672167665,30,10
"419","exp_n110",0.768218527907391,3,3
"420","exp_n110",0.782404949646134,30,15
"421","exp_n110",0.791534039190775,30,20
"422","exp_n110",0.83288692280985,30,20
"423","exp_n110",0.840510251223129,30,26
"424","exp_n110",0.858528216736245,5,0
"425","exp_n110",0.902795898216956,30,1
"426","exp_n110",0.905843216272858,30,2
"427","exp_n110",0.914642178066714,17,2
"428","exp_n110",0.922752647435016,30,12
"429","exp_n110",0.923582755958318,30,2
"430","exp_n110",0.932436281975334,36,3
"431","exp_n110",0.938023394767331,30,16
"432","exp_n110",0.947179382815784,30,24
"433","exp_n110",0.948730658367123,30,19
"434","exp_n110",0.956950964303382,30,26
"435","exp_n110",0.986411011645681,30,29
"436","exp_n111",0,262,12
"437","exp_n111",0.628693285136388,30,3
"438","exp_n111",0.631344871661887,30,3
"439","exp_n111",0.680877723547676,30,22
"440","exp_n111",0.696359165342341,30,29
"441","exp_n111",0.697887091429101,30,7
"442","exp_n111",0.703937688612588,30,2
"443","exp_n111",0.707115391333641,30,6
"444","exp_n111",0.70776550147561,30,2
