"Dataset Index","Dose","N","Effect"
"exp_n823",0.988572698884685,30,16
"exp_n823",1.02097543048697,30,30
"exp_n823",1.03835786466367,4,1
"exp_n824",0,30,0
"exp_n824",0.697792105165509,30,4
"exp_n824",0.699909009885112,2,0
"exp_n824",0.703353361165685,30,24
"exp_n824",0.730475280836777,30,23
"exp_n824",0.742476942421591,71,0
"exp_n824",0.744886962532772,30,1
"exp_n824",0.750598415951126,2,0
"exp_n824",0.751543729678767,30,11
"exp_n824",0.754546013310311,3,3
"exp_n824",0.757587030205122,30,10
"exp_n824",0.769882024219578,3,0
"exp_n824",0.802200488920012,30,14
"exp_n824",0.814249011760982,30,24
"exp_n824",0.83282113441734,4,0
"exp_n824",0.836594985178438,30,1
"exp_n824",0.837426928744153,1,0
"exp_n824",0.837712370912503,30,4
"exp_n824",0.844109547632865,4,0
"exp_n824",0.846299548653345,30,4
"exp_n824",0.851229948035035,5,0
"exp_n824",0.862448371458603,30,30
"exp_n824",0.871907531637012,30,1
"exp_n824",0.897163054844805,30,0
"exp_n824",0.907094810538865,30,30
"exp_n824",0.911952551174493,73,0
"exp_n824",0.912719998845817,17,4
"exp_n824",0.918131146278081,30,2
"exp_n824",0.921286106908761,30,1
"exp_n824",0.927246076764366,36,2
"exp_n824",0.945319171889798,2,1
"exp_n824",0.946455749758212,30,15
"exp_n824",0.972153914022178,30,27
"exp_n824",0.981918965156199,30,14
"exp_n824",0.9915024101659,30,22
"exp_n824",0.9936678877011,30,16
"exp_n824",1.00138216211291,30,16
"exp_n824",1.01755925593314,30,29
"exp_n824",1.04217394198491,4,0
"exp_n825",0,30,0
"exp_n825",0.672310656516161,30,2
"exp_n825",0.698123076658337,30,23
"exp_n825",0.698697570011057,2,0
"exp_n825",0.715872626613399,30,6
"exp_n825",0.740061900525461,30,10
"exp_n825",0.743687566782414,3,0
"exp_n825",0.746777721395741,71,0
"exp_n825",0.747708693204069,2,0
"exp_n825",0.749958764387791,30,15
"exp_n825",0.759119866006632,3,3
"exp_n825",0.765105401033886,30,7
"exp_n825",0.799513902236723,5,0
"exp_n825",0.800881233544264,30,20
"exp_n825",0.801453443207912,30,3
"exp_n825",0.830838867141354,1,0
"exp_n825",0.831645865678155,30,4
"exp_n825",0.831675937459515,30,3
"exp_n825",0.832287792469768,30,6
"exp_n825",0.841221690322608,30,25
"exp_n825",0.843046721738106,4,0
"exp_n825",0.868205470044871,30,2
"exp_n825",0.880267391121024,4,0
"exp_n825",0.888006517372769,30,2
"exp_n825",0.895475779474457,73,0
"exp_n825",0.896879103573727,17,1
