"","Simulation","BMDSEstimates","order","Model"
"250","exp_n173.bmd",0.384603133292168,"bmds","ModelAverage"
"251","exp_n173.bmd",0.330023483313304,"bmdl","ModelAverage"
"252","exp_n173.bmd",0.509205570119869,"bmdu","ModelAverage"
"253","exp_n174.bmd",0.329877024630319,"bmds","ModelAverage"
"254","exp_n174.bmd",0.173113618419528,"bmdl","ModelAverage"
"255","exp_n174.bmd",0.437194015122504,"bmdu","ModelAverage"
"256","exp_n175.bmd",0.339407508517563,"bmds","ModelAverage"
"257","exp_n175.bmd",0.171644511469251,"bmdl","ModelAverage"
"258","exp_n175.bmd",0.458866304145928,"bmdu","ModelAverage"
"259","exp_n176.bmd",0.403126704434407,"bmds","ModelAverage"
"260","exp_n176.bmd",0.351058780482913,"bmdl","ModelAverage"
"261","exp_n176.bmd",0.504740552559892,"bmdu","ModelAverage"
"262","exp_n177.bmd",0.230800422641064,"bmds","ModelAverage"
"263","exp_n177.bmd",0.159594759056123,"bmdl","ModelAverage"
"264","exp_n177.bmd",0.384367365018161,"bmdu","ModelAverage"
"265","exp_n178.bmd",0.184794628544687,"bmds","ModelAverage"
"266","exp_n178.bmd",0.119862252664289,"bmdl","ModelAverage"
"267","exp_n178.bmd",0.34862763638576,"bmdu","ModelAverage"
"268","exp_n179.bmd",0.311685987998121,"bmds","ModelAverage"
"269","exp_n179.bmd",0.161637910884209,"bmdl","ModelAverage"
"270","exp_n179.bmd",0.410886635604001,"bmdu","ModelAverage"
"271","exp_n18.bmd",0.602486904834333,"bmds","ModelAverage"
"272","exp_n18.bmd",0.527672284807661,"bmdl","ModelAverage"
"273","exp_n18.bmd",0.661076014549118,"bmdu","ModelAverage"
"274","exp_n180.bmd",0.214650630001189,"bmds","ModelAverage"
"275","exp_n180.bmd",0.154460566882395,"bmdl","ModelAverage"
"276","exp_n180.bmd",0.375127684504328,"bmdu","ModelAverage"
"277","exp_n181.bmd",0.449415883550277,"bmds","ModelAverage"
"278","exp_n181.bmd",0.294559386694743,"bmdl","ModelAverage"
"279","exp_n181.bmd",0.556432941070077,"bmdu","ModelAverage"
"280","exp_n182.bmd",0.346183264131776,"bmds","ModelAverage"
"281","exp_n182.bmd",0.197654249255258,"bmdl","ModelAverage"
"282","exp_n182.bmd",0.479729694218343,"bmdu","ModelAverage"
"283","exp_n183.bmd",0.362732180102516,"bmds","ModelAverage"
"284","exp_n183.bmd",0.228362387338154,"bmdl","ModelAverage"
"285","exp_n183.bmd",0.575876877158541,"bmdu","ModelAverage"
"286","exp_n184.bmd",0.332701815300624,"bmds","ModelAverage"
"287","exp_n184.bmd",0.173230738944821,"bmdl","ModelAverage"
"288","exp_n184.bmd",0.434541810293236,"bmdu","ModelAverage"
"289","exp_n185.bmd",0.359375248009311,"bmds","ModelAverage"
"290","exp_n185.bmd",0.177606132562144,"bmdl","ModelAverage"
"291","exp_n185.bmd",0.48807486632965,"bmdu","ModelAverage"
"292","exp_n186.bmd",0.175338499551884,"bmds","ModelAverage"
"293","exp_n186.bmd",0.0900455140318515,"bmdl","ModelAverage"
"294","exp_n186.bmd",0.337368784536033,"bmdu","ModelAverage"
"295","exp_n187.bmd",0.46925798744857,"bmds","ModelAverage"
"296","exp_n187.bmd",0.369829472744247,"bmdl","ModelAverage"
"297","exp_n187.bmd",0.58858594789202,"bmdu","ModelAverage"
"298","exp_n188.bmd",0.174213784173614,"bmds","ModelAverage"
"299","exp_n188.bmd",0.127007865259459,"bmdl","ModelAverage"
"300","exp_n188.bmd",0.343310760394323,"bmdu","ModelAverage"
"301","exp_n189.bmd",0.489736605553921,"bmds","ModelAverage"
"302","exp_n189.bmd",0.344650742812215,"bmdl","ModelAverage"
"303","exp_n189.bmd",0.57931795111938,"bmdu","ModelAverage"
"304","exp_n19.bmd",0.354868122754263,"bmds","ModelAverage"
"305","exp_n19.bmd",0.300276830060409,"bmdl","ModelAverage"
"306","exp_n19.bmd",0.5121310883293,"bmdu","ModelAverage"
"307","exp_n190.bmd",0.174803256128482,"bmds","ModelAverage"
"308","exp_n190.bmd",0.108036094757493,"bmdl","ModelAverage"
"309","exp_n190.bmd",0.336983018532879,"bmdu","ModelAverage"
"310","exp_n191.bmd",0.339463215044883,"bmds","ModelAverage"
"311","exp_n191.bmd",0.165240455555005,"bmdl","ModelAverage"
"312","exp_n191.bmd",0.44843327245694,"bmdu","ModelAverage"
"313","exp_n192.bmd",0.319738269034066,"bmds","ModelAverage"
"314","exp_n192.bmd",0.155698620831603,"bmdl","ModelAverage"
"315","exp_n192.bmd",0.425752570169331,"bmdu","ModelAverage"
"316","exp_n193.bmd",0.355393572200767,"bmds","ModelAverage"
"317","exp_n193.bmd",0.1660187758477,"bmdl","ModelAverage"
"318","exp_n193.bmd",0.459397769965734,"bmdu","ModelAverage"
"319","exp_n194.bmd",0.321766943088832,"bmds","ModelAverage"
"320","exp_n194.bmd",0.162625567606834,"bmdl","ModelAverage"
"321","exp_n194.bmd",0.435313689021815,"bmdu","ModelAverage"
"322","exp_n195.bmd",0.323963817964979,"bmds","ModelAverage"
"323","exp_n195.bmd",0.175820218972638,"bmdl","ModelAverage"
"324","exp_n195.bmd",0.452326871900093,"bmdu","ModelAverage"
"325","exp_n196.bmd",0.179934534379068,"bmds","ModelAverage"
"326","exp_n196.bmd",0.124412709935027,"bmdl","ModelAverage"
"327","exp_n196.bmd",0.361082161456199,"bmdu","ModelAverage"
"328","exp_n197.bmd",0.358441877676301,"bmds","ModelAverage"
"329","exp_n197.bmd",0.299534379793551,"bmdl","ModelAverage"
"330","exp_n197.bmd",0.531481457681863,"bmdu","ModelAverage"
"331","exp_n198.bmd",0.388048003371604,"bmds","ModelAverage"
"332","exp_n198.bmd",0.291481093999727,"bmdl","ModelAverage"
"333","exp_n198.bmd",0.494204256009833,"bmdu","ModelAverage"
"334","exp_n199.bmd",0.299908868707948,"bmds","ModelAverage"
"335","exp_n199.bmd",0.166530804512595,"bmdl","ModelAverage"
"336","exp_n199.bmd",0.409434092740746,"bmdu","ModelAverage"
"337","exp_n2.bmd",0.47574817248879,"bmds","ModelAverage"
"338","exp_n2.bmd",0.368795217012001,"bmdl","ModelAverage"
"339","exp_n2.bmd",0.590887353241702,"bmdu","ModelAverage"
"340","exp_n20.bmd",0.382980177337097,"bmds","ModelAverage"
"341","exp_n20.bmd",0.321884975140217,"bmdl","ModelAverage"
"342","exp_n20.bmd",0.531617479302969,"bmdu","ModelAverage"
"343","exp_n200.bmd",0.340940732391203,"bmds","ModelAverage"
"344","exp_n200.bmd",0.150589157085524,"bmdl","ModelAverage"
"345","exp_n200.bmd",0.429075334044456,"bmdu","ModelAverage"
"346","exp_n201.bmd",0.320690412502348,"bmds","ModelAverage"
"347","exp_n201.bmd",0.167400669215078,"bmdl","ModelAverage"
"348","exp_n201.bmd",0.432557752740131,"bmdu","ModelAverage"
"349","exp_n202.bmd",0.379370647198133,"bmds","ModelAverage"
"350","exp_n202.bmd",0.312526046106138,"bmdl","ModelAverage"
"351","exp_n202.bmd",0.516927518426466,"bmdu","ModelAverage"
"352","exp_n203.bmd",0.352109311075623,"bmds","ModelAverage"
"353","exp_n203.bmd",0.274571551866254,"bmdl","ModelAverage"
"354","exp_n203.bmd",0.458391501424185,"bmdu","ModelAverage"
"355","exp_n204.bmd",0.18950296524307,"bmds","ModelAverage"
"356","exp_n204.bmd",0.0994292586386164,"bmdl","ModelAverage"
"357","exp_n204.bmd",0.326666808822461,"bmdu","ModelAverage"
"358","exp_n205.bmd",0.335676397472686,"bmds","ModelAverage"
"359","exp_n205.bmd",0.170266060510617,"bmdl","ModelAverage"
"360","exp_n205.bmd",0.449139665505406,"bmdu","ModelAverage"
"361","exp_n206.bmd",0.309769932218761,"bmds","ModelAverage"
"362","exp_n206.bmd",0.152347700835422,"bmdl","ModelAverage"
"363","exp_n206.bmd",0.420009210715541,"bmdu","ModelAverage"
"364","exp_n207.bmd",0.170658785280468,"bmds","ModelAverage"
"365","exp_n207.bmd",0.0945587855333983,"bmdl","ModelAverage"
"366","exp_n207.bmd",0.315931864907323,"bmdu","ModelAverage"
"367","exp_n208.bmd",0.366070949892811,"bmds","ModelAverage"
"368","exp_n208.bmd",0.302392318361354,"bmdl","ModelAverage"
"369","exp_n208.bmd",0.505182576607837,"bmdu","ModelAverage"
"370","exp_n209.bmd",0.385394653597569,"bmds","ModelAverage"
"371","exp_n209.bmd",0.221717221569656,"bmdl","ModelAverage"
"372","exp_n209.bmd",0.473063231336376,"bmdu","ModelAverage"
"373","exp_n21.bmd",0.356012421847638,"bmds","ModelAverage"
"374","exp_n21.bmd",0.193694196827454,"bmdl","ModelAverage"
"375","exp_n21.bmd",0.462475733211428,"bmdu","ModelAverage"
"376","exp_n210.bmd",0.341087972434524,"bmds","ModelAverage"
"377","exp_n210.bmd",0.160614416471068,"bmdl","ModelAverage"
"378","exp_n210.bmd",0.440422701393355,"bmdu","ModelAverage"
"379","exp_n211.bmd",0.366249209574129,"bmds","ModelAverage"
"380","exp_n211.bmd",0.307581175017215,"bmdl","ModelAverage"
"381","exp_n211.bmd",0.522249336378902,"bmdu","ModelAverage"
"382","exp_n212.bmd",0.266920218172316,"bmds","ModelAverage"
"383","exp_n212.bmd",0.159082264237281,"bmdl","ModelAverage"
"384","exp_n212.bmd",0.405760712887398,"bmdu","ModelAverage"
"385","exp_n213.bmd",0.365820876890714,"bmds","ModelAverage"
"386","exp_n213.bmd",0.31672197531207,"bmdl","ModelAverage"
"387","exp_n213.bmd",0.48393758972438,"bmdu","ModelAverage"
"388","exp_n214.bmd",0.355892354283686,"bmds","ModelAverage"
"389","exp_n214.bmd",0.20103373752116,"bmdl","ModelAverage"
"390","exp_n214.bmd",0.481818720774961,"bmdu","ModelAverage"
"391","exp_n215.bmd",0.205907448940252,"bmds","ModelAverage"
"392","exp_n215.bmd",0.160567775019645,"bmdl","ModelAverage"
"393","exp_n215.bmd",0.390285203172531,"bmdu","ModelAverage"
"394","exp_n216.bmd",0.316222697477176,"bmds","ModelAverage"
"395","exp_n216.bmd",0.167341594625948,"bmdl","ModelAverage"
"396","exp_n216.bmd",0.44101899283465,"bmdu","ModelAverage"
"397","exp_n217.bmd",0.361901093125196,"bmds","ModelAverage"
