"","set","Dose","N","Effect"
"186","exp_n102",0.000153568041108649,5,3
"187","exp_n102",0.000154357158540211,10,6
"188","exp_n102",0.000156956041533936,9,5
"189","exp_n102",0.000159669006154292,5,4
"190","exp_n102",0.000170325639854002,5,0
"191","exp_n102",0.00017436879664211,10,1
"192","exp_n102",0.000181956089099268,5,0
"193","exp_n102",0.000186385339366152,9,0
"194","exp_n102",0.000191917823955996,10,10
"195","exp_n102",0.000219401865605351,9,1
"196","exp_n102",0.000221987361700618,5,0
"197","exp_n102",0.000223556964088167,5,0
"198","exp_n102",0.000228542086752877,10,0
"199","exp_n102",0.000232687599551289,10,10
"200","exp_n102",0.000235785245489482,5,5
"201","exp_n102",0.000236736584733195,9,5
"202","exp_n102",0.000236746655667674,10,3
"203","exp_n102",0.000252532444514951,9,2
"204","exp_n102",0.000283623456777551,5,0
"205","exp_n103",0,282,10
"206","exp_n103",7.80236660105277e-05,5,5
"207","exp_n103",7.80906306453184e-05,10,7
"208","exp_n103",8.05994126200015e-05,9,9
"209","exp_n103",0.000117055708344022,9,0
"210","exp_n103",0.000117572405860383,10,1
"211","exp_n103",0.000121485704404874,5,2
"212","exp_n103",0.000125125810842053,5,0
"213","exp_n103",0.000127672591118946,9,5
"214","exp_n103",0.000133683332414755,10,9
"215","exp_n103",0.000137918156948759,5,0
"216","exp_n103",0.000138406870383508,9,0
"217","exp_n103",0.000141310659921088,10,2
"218","exp_n103",0.000141508964984092,5,5
"219","exp_n103",0.000142146308851971,5,3
"220","exp_n103",0.000145257424447302,10,7
"221","exp_n103",0.000146106309513102,9,2
"222","exp_n103",0.00014767730274626,9,3
"223","exp_n103",0.000155818857288094,5,3
"224","exp_n103",0.000166048309031392,5,0
"225","exp_n103",0.000168443662595061,10,2
"226","exp_n103",0.000171429570389423,5,0
"227","exp_n103",0.00017599086395779,9,3
"228","exp_n103",0.000179642096442016,10,10
"229","exp_n103",0.000209536596783424,10,2
"230","exp_n103",0.000214488608695943,5,0
"231","exp_n103",0.000214740963886036,9,0
"232","exp_n103",0.000229966926320255,10,9
"233","exp_n103",0.00023042130768324,5,5
"234","exp_n103",0.000230987718300649,9,8
"235","exp_n103",0.000247328168182165,9,2
"236","exp_n103",0.000260983395396882,5,2
"237","exp_n103",0.000264967472591839,10,3
"238","exp_n103",0.0003056888799545,5,1
"239","exp_n104",0,282,14
"240","exp_n104",8.33826269710669e-05,10,2
"241","exp_n104",8.73935530224445e-05,5,5
"242","exp_n104",9.11197091158068e-05,9,8
"243","exp_n104",0.000127510741359437,5,0
"244","exp_n104",0.000127581628232356,9,0
"245","exp_n104",0.000127685522172669,10,2
"246","exp_n104",0.000129615125564487,5,1
"247","exp_n104",0.00013484334023107,9,5
"248","exp_n104",0.000145034446863699,5,0
"249","exp_n104",0.000146888877623018,10,8
"250","exp_n104",0.000148734758780663,5,2
"251","exp_n104",0.00015156935844546,9,0
"252","exp_n104",0.000152069116432167,10,2
"253","exp_n104",0.000152609957872904,9,4
"254","exp_n104",0.000154327830260492,5,5
"255","exp_n104",0.000158215792380493,10,8
"256","exp_n104",0.000161770870024757,9,5
"257","exp_n104",0.000167073772263254,5,5
"258","exp_n104",0.000174982842639608,5,0
"259","exp_n104",0.000178159277714644,10,3
"260","exp_n104",0.000188942738819342,5,0
