set,Dose,N,Effect
exp_n10,0.023889988,10,8
exp_n10,0.045251682,10,10
exp_n10,0.003285218,9,0
exp_n10,0.006424834,9,0
exp_n10,0.012367407,9,0
exp_n10,0.027714445,9,2
exp_n10,0.051561098,9,7
exp_n10,0.002750733,10,0
exp_n10,0.003033879,10,1
exp_n10,0.009549872,10,3
exp_n10,0.015447661,10,5
exp_n10,0.028674182,10,9
exp_n10,0.003522618,9,1
exp_n10,0.007467004,9,2
exp_n10,0.01309287,9,6
exp_n10,0.027392123,9,4
exp_n10,0.059878746,9,8
exp_n10,0.013091976,3,0
exp_n10,0.017772074,3,1
exp_n10,0.022426218,3,3
exp_n10,0.026955759,3,3
exp_n10,0.041037575,3,3
exp_n11,0,285,6
exp_n11,0.002558468,5,0
exp_n11,0.005125443,5,2
exp_n11,0.010359234,5,5
exp_n11,0.019871965,5,5
exp_n11,0.046211858,5,5
exp_n11,0.002210157,5,0
exp_n11,0.004706054,5,0
exp_n11,0.008971757,5,0
exp_n11,0.018508081,5,2
exp_n11,0.041432343,5,3
exp_n11,0.003716021,5,0
exp_n11,0.007694948,5,1
exp_n11,0.014904018,5,4
exp_n11,0.001563367,10,5
exp_n11,0.0050892,10,4
exp_n11,0.012037721,10,4
exp_n11,0.022036212,10,6
exp_n11,0.045004467,10,10
exp_n11,0.003064178,9,0
exp_n11,0.006485047,9,0
exp_n11,0.01224862,9,0
exp_n11,0.02666685,9,2
exp_n11,0.055055798,9,6
exp_n11,0.002286406,10,1
exp_n11,0.003885408,10,1
exp_n11,0.011458493,10,2
exp_n11,0.020300638,10,6
exp_n11,0.036530344,10,10
exp_n11,0.003709942,9,0
exp_n11,0.007400185,9,1
exp_n11,0.014452303,9,6
exp_n11,0.03110247,9,3
exp_n11,0.059453703,9,8
exp_n11,0.012888479,3,0
exp_n11,0.017508856,3,1
exp_n11,0.022094006,3,2
exp_n11,0.02651058,3,3
exp_n11,0.040384411,3,3
exp_n12,0,285,4
exp_n12,0.002633204,5,0
exp_n12,0.005314071,5,2
exp_n12,0.011308343,5,4
exp_n12,0.022832788,5,5
exp_n12,0.047994841,5,5
exp_n12,0.002314222,5,0
exp_n12,0.004756779,5,0
exp_n12,0.010367538,5,0
exp_n12,0.019615905,5,1
exp_n12,0.044536991,5,4
exp_n12,0.004020621,5,0
exp_n12,0.007947413,5,1
exp_n12,0.017091192,5,3
exp_n12,0.001559523,10,2
exp_n12,0.005834261,10,4
exp_n12,0.012075446,10,3
exp_n12,0.023017967,10,8
exp_n12,0.050609968,10,10
exp_n12,0.00341702,9,0
exp_n12,0.006906759,9,0
exp_n12,0.013984671,9,0
exp_n12,0.030814915,9,2
exp_n12,0.061837455,9,5
exp_n12,0.002451724,10,2
exp_n12,0.004753792,10,1
exp_n12,0.006424087,10,3
exp_n12,0.009171858,10,1
exp_n12,0.03154743,10,6
exp_n12,0.003875276,9,2
exp_n12,0.007822085,9,3
exp_n12,0.014248382,9,3
exp_n12,0.033946961,9,8
exp_n12,0.074492031,9,9
exp_n12,0.01391885,3,0
exp_n12,0.019003245,3,2
exp_n12,0.024143696,3,3
exp_n12,0.02907848,3,3
exp_n12,0.044702817,3,3
exp_n13,0,285,9
exp_n13,0.002607481,5,0
exp_n13,0.005209217,5,2
exp_n13,0.009795977,5,5
exp_n13,0.020718237,5,5
exp_n13,0.043278053,5,5
exp_n13,0.002308333,5,0
exp_n13,0.004565483,5,0
exp_n13,0.009106157,5,0
exp_n13,0.019238709,5,0
exp_n13,0.041967326,5,4
exp_n13,0.003694422,5,0
exp_n13,0.00808346,5,0
exp_n13,0.01596957,5,4
exp_n13,0.001540793,10,1
exp_n13,0.004642883,10,3
exp_n13,0.010674381,10,5
exp_n13,0.021837498,10,10
exp_n13,0.047507765,10,10
exp_n13,0.003025154,9,0
exp_n13,0.005963558,9,0
exp_n13,0.013748735,9,1
exp_n13,0.025793758,9,4
exp_n13,0.053990119,9,6
