"","Simulation","BMDSEstimates","order","Model"
"119","exp_n133.bmd",0.229192089344102,"bmdl","ModelAverage"
"120","exp_n133.bmd",0.479224017776835,"bmdu","ModelAverage"
"121","exp_n134.bmd",0.37552361449199,"bmds","ModelAverage"
"122","exp_n134.bmd",0.205875492362625,"bmdl","ModelAverage"
"123","exp_n134.bmd",0.448202929676384,"bmdu","ModelAverage"
"124","exp_n135.bmd",0.399597343869463,"bmds","ModelAverage"
"125","exp_n135.bmd",0.209765650368636,"bmdl","ModelAverage"
"126","exp_n135.bmd",0.483119344590987,"bmdu","ModelAverage"
"127","exp_n136.bmd",0.462868272695209,"bmds","ModelAverage"
"128","exp_n136.bmd",0.39256303165091,"bmdl","ModelAverage"
"129","exp_n136.bmd",0.645843326680606,"bmdu","ModelAverage"
"130","exp_n137.bmd",0.376926506074765,"bmds","ModelAverage"
"131","exp_n137.bmd",0.219097703392714,"bmdl","ModelAverage"
"132","exp_n137.bmd",0.461237564146393,"bmdu","ModelAverage"
"133","exp_n138.bmd",0.419570893971657,"bmds","ModelAverage"
"134","exp_n138.bmd",0.231093118442779,"bmdl","ModelAverage"
"135","exp_n138.bmd",0.492843031756193,"bmdu","ModelAverage"
"136","exp_n139.bmd",0.295289826640961,"bmds","ModelAverage"
"137","exp_n139.bmd",0.202810145627168,"bmdl","ModelAverage"
"138","exp_n139.bmd",0.455966634003557,"bmdu","ModelAverage"
"139","exp_n14.bmd",0.443654435224421,"bmds","ModelAverage"
"140","exp_n14.bmd",0.27054386619604,"bmdl","ModelAverage"
"141","exp_n14.bmd",0.557909928092802,"bmdu","ModelAverage"
"142","exp_n140.bmd",0.394781812201099,"bmds","ModelAverage"
"143","exp_n140.bmd",0.22493107412224,"bmdl","ModelAverage"
"144","exp_n140.bmd",0.476353344825224,"bmdu","ModelAverage"
"145","exp_n141.bmd",0.4307003227499,"bmds","ModelAverage"
"146","exp_n141.bmd",0.379286327269625,"bmdl","ModelAverage"
"147","exp_n141.bmd",0.5664676553136,"bmdu","ModelAverage"
"148","exp_n142.bmd",0.431339007265787,"bmds","ModelAverage"
"149","exp_n142.bmd",0.341976912734843,"bmdl","ModelAverage"
"150","exp_n142.bmd",0.547551939047131,"bmdu","ModelAverage"
"151","exp_n143.bmd",0.285522684272327,"bmds","ModelAverage"
"152","exp_n143.bmd",0.190195162382532,"bmdl","ModelAverage"
"153","exp_n143.bmd",0.447004453367956,"bmdu","ModelAverage"
"154","exp_n144.bmd",0.410450891612886,"bmds","ModelAverage"
"155","exp_n144.bmd",0.245759957492919,"bmdl","ModelAverage"
"156","exp_n144.bmd",0.527811717936585,"bmdu","ModelAverage"
"157","exp_n145.bmd",0.403953227361701,"bmds","ModelAverage"
"158","exp_n145.bmd",0.351538224590408,"bmdl","ModelAverage"
"159","exp_n145.bmd",0.560422587051099,"bmdu","ModelAverage"
"160","exp_n146.bmd",0.446318106529062,"bmds","ModelAverage"
"161","exp_n146.bmd",0.391866493157122,"bmdl","ModelAverage"
"162","exp_n146.bmd",0.591016799758702,"bmdu","ModelAverage"
"163","exp_n147.bmd",0.453035213445213,"bmds","ModelAverage"
"164","exp_n147.bmd",0.400064339717429,"bmdl","ModelAverage"
"165","exp_n147.bmd",0.567734761937,"bmdu","ModelAverage"
"166","exp_n148.bmd",0.737056814180146,"bmds","ModelAverage"
"167","exp_n148.bmd",0.669733173492554,"bmdl","ModelAverage"
"168","exp_n148.bmd",0.819923457308013,"bmdu","ModelAverage"
"169","exp_n149.bmd",0.436032415679694,"bmds","ModelAverage"
"170","exp_n149.bmd",0.38389576987987,"bmdl","ModelAverage"
"171","exp_n149.bmd",0.5866153547582,"bmdu","ModelAverage"
"172","exp_n15.bmd",0.395719460571833,"bmds","ModelAverage"
"173","exp_n15.bmd",0.206158864021066,"bmdl","ModelAverage"
"174","exp_n15.bmd",0.46660424679318,"bmdu","ModelAverage"
"175","exp_n150.bmd",0.417275137585496,"bmds","ModelAverage"
"176","exp_n150.bmd",0.216119866673312,"bmdl","ModelAverage"
"177","exp_n150.bmd",0.489406962509606,"bmdu","ModelAverage"
"178","exp_n151.bmd",0.221565120977819,"bmds","ModelAverage"
"179","exp_n151.bmd",0.11561602249914,"bmdl","ModelAverage"
"180","exp_n151.bmd",0.394503879810063,"bmdu","ModelAverage"
"181","exp_n152.bmd",0.412486479766185,"bmds","ModelAverage"
"182","exp_n152.bmd",0.26082331043196,"bmdl","ModelAverage"
"183","exp_n152.bmd",0.538749175039962,"bmdu","ModelAverage"
"184","exp_n153.bmd",0.40112585023937,"bmds","ModelAverage"
"185","exp_n153.bmd",0.199733506199827,"bmdl","ModelAverage"
"186","exp_n153.bmd",0.474888714787286,"bmdu","ModelAverage"
"187","exp_n154.bmd",0.3255103280802,"bmds","ModelAverage"
"188","exp_n154.bmd",0.195704109991271,"bmdl","ModelAverage"
"189","exp_n154.bmd",0.465741903812649,"bmdu","ModelAverage"
"190","exp_n155.bmd",0.440115394959159,"bmds","ModelAverage"
"191","exp_n155.bmd",0.388626920063352,"bmdl","ModelAverage"
"192","exp_n155.bmd",0.56634342521667,"bmdu","ModelAverage"
"193","exp_n156.bmd",0.371848545813419,"bmds","ModelAverage"
"194","exp_n156.bmd",0.150195101737651,"bmdl","ModelAverage"
"195","exp_n156.bmd",0.45489873013766,"bmdu","ModelAverage"
"196","exp_n157.bmd",0.443998772679776,"bmds","ModelAverage"
"197","exp_n157.bmd",0.390489356534564,"bmdl","ModelAverage"
"198","exp_n157.bmd",0.583575754615494,"bmdu","ModelAverage"
"199","exp_n158.bmd",0.387470178951629,"bmds","ModelAverage"
"200","exp_n158.bmd",0.223517954192285,"bmdl","ModelAverage"
"201","exp_n158.bmd",0.467348387857428,"bmdu","ModelAverage"
"202","exp_n159.bmd",0.372438467712214,"bmds","ModelAverage"
"203","exp_n159.bmd",0.191502022235,"bmdl","ModelAverage"
"204","exp_n159.bmd",0.445853428606654,"bmdu","ModelAverage"
"205","exp_n16.bmd",0.297029339586876,"bmds","ModelAverage"
"206","exp_n16.bmd",0.120029637259547,"bmdl","ModelAverage"
"207","exp_n16.bmd",0.45644241283363,"bmdu","ModelAverage"
"208","exp_n160.bmd",0.42494630720642,"bmds","ModelAverage"
"209","exp_n160.bmd",0.241245503297659,"bmdl","ModelAverage"
"210","exp_n160.bmd",0.506357263224419,"bmdu","ModelAverage"
"211","exp_n161.bmd",0.232821074546879,"bmds","ModelAverage"
"212","exp_n161.bmd",0.108536643094969,"bmdl","ModelAverage"
"213","exp_n161.bmd",0.384514768506463,"bmdu","ModelAverage"
"214","exp_n162.bmd",0.376787728017347,"bmds","ModelAverage"
"215","exp_n162.bmd",0.211512261972534,"bmdl","ModelAverage"
"216","exp_n162.bmd",0.447034266587324,"bmdu","ModelAverage"
"217","exp_n163.bmd",0.412291602592182,"bmds","ModelAverage"
"218","exp_n163.bmd",0.231071025097956,"bmdl","ModelAverage"
"219","exp_n163.bmd",0.492967773442629,"bmdu","ModelAverage"
"220","exp_n164.bmd",0.282490631496153,"bmds","ModelAverage"
"221","exp_n164.bmd",0.190384894054331,"bmdl","ModelAverage"
"222","exp_n164.bmd",0.466280740942703,"bmdu","ModelAverage"
"223","exp_n165.bmd",0.277822548181316,"bmds","ModelAverage"
"224","exp_n165.bmd",0.177452400772531,"bmdl","ModelAverage"
"225","exp_n165.bmd",0.441021862512248,"bmdu","ModelAverage"
"226","exp_n166.bmd",0.227406659371115,"bmds","ModelAverage"
"227","exp_n166.bmd",0.141801367220416,"bmdl","ModelAverage"
"228","exp_n166.bmd",0.409232956790174,"bmdu","ModelAverage"
"229","exp_n167.bmd",0.352011026481433,"bmds","ModelAverage"
"230","exp_n167.bmd",0.203277730733072,"bmdl","ModelAverage"
"231","exp_n167.bmd",0.444138410170399,"bmdu","ModelAverage"
"232","exp_n168.bmd",0.403519135235472,"bmds","ModelAverage"
"233","exp_n168.bmd",0.312130356632284,"bmdl","ModelAverage"
"234","exp_n168.bmd",0.52499442940818,"bmdu","ModelAverage"
"235","exp_n169.bmd",0.478894478570861,"bmds","ModelAverage"
"236","exp_n169.bmd",0.399054017840787,"bmdl","ModelAverage"
"237","exp_n169.bmd",0.639786343004471,"bmdu","ModelAverage"
"238","exp_n17.bmd",0.451180160260714,"bmds","ModelAverage"
"239","exp_n17.bmd",0.252743979279931,"bmdl","ModelAverage"
"240","exp_n17.bmd",0.527861475828661,"bmdu","ModelAverage"
"241","exp_n170.bmd",0.393567062240782,"bmds","ModelAverage"
"242","exp_n170.bmd",0.226813098978726,"bmdl","ModelAverage"
"243","exp_n170.bmd",0.473531616399267,"bmdu","ModelAverage"
"244","exp_n171.bmd",0.396542233105628,"bmds","ModelAverage"
"245","exp_n171.bmd",0.230935600317119,"bmdl","ModelAverage"
"246","exp_n171.bmd",0.488366437761455,"bmdu","ModelAverage"
"247","exp_n172.bmd",0.706351830843426,"bmds","ModelAverage"
"248","exp_n172.bmd",0.658426267424649,"bmdl","ModelAverage"
"249","exp_n172.bmd",0.754373887792172,"bmdu","ModelAverage"
"250","exp_n173.bmd",0.442191460430622,"bmds","ModelAverage"
"251","exp_n173.bmd",0.389450665603224,"bmdl","ModelAverage"
"252","exp_n173.bmd",0.573039230391357,"bmdu","ModelAverage"
"253","exp_n174.bmd",0.369748313764698,"bmds","ModelAverage"
"254","exp_n174.bmd",0.207648673854785,"bmdl","ModelAverage"
"255","exp_n174.bmd",0.448408351900919,"bmdu","ModelAverage"
"256","exp_n175.bmd",0.437769603430081,"bmds","ModelAverage"
"257","exp_n175.bmd",0.384986411218675,"bmdl","ModelAverage"
"258","exp_n175.bmd",0.603216388691651,"bmdu","ModelAverage"
"259","exp_n176.bmd",0.419616902800185,"bmds","ModelAverage"
"260","exp_n176.bmd",0.266883145406454,"bmdl","ModelAverage"
"261","exp_n176.bmd",0.556135908682207,"bmdu","ModelAverage"
"262","exp_n177.bmd",0.69894705522107,"bmds","ModelAverage"
"263","exp_n177.bmd",0.628053674673302,"bmdl","ModelAverage"
"264","exp_n177.bmd",0.77052308287761,"bmdu","ModelAverage"
"265","exp_n178.bmd",0.730611868790457,"bmds","ModelAverage"
"266","exp_n178.bmd",0.687158411938951,"bmdl","ModelAverage"
"267","exp_n178.bmd",0.780087381838189,"bmdu","ModelAverage"
"268","exp_n179.bmd",0.250314432655482,"bmds","ModelAverage"
"269","exp_n179.bmd",0.15384433950496,"bmdl","ModelAverage"
"270","exp_n179.bmd",0.421072533715479,"bmdu","ModelAverage"
"271","exp_n18.bmd",0.335823367010232,"bmds","ModelAverage"
"272","exp_n18.bmd",0.202579014597454,"bmdl","ModelAverage"
"273","exp_n18.bmd",0.437798888173092,"bmdu","ModelAverage"
"274","exp_n180.bmd",0.388708562388003,"bmds","ModelAverage"
"275","exp_n180.bmd",0.0634315034559291,"bmdl","ModelAverage"
"276","exp_n180.bmd",0.459425970408755,"bmdu","ModelAverage"
"277","exp_n181.bmd",0.400620739895558,"bmds","ModelAverage"
"278","exp_n181.bmd",0.22275620452514,"bmdl","ModelAverage"
"279","exp_n181.bmd",0.477782598737007,"bmdu","ModelAverage"
"280","exp_n182.bmd",0.43192193040612,"bmds","ModelAverage"
"281","exp_n182.bmd",0.377541392115656,"bmdl","ModelAverage"
"282","exp_n182.bmd",0.591385314087059,"bmdu","ModelAverage"
"283","exp_n183.bmd",0.411971511866006,"bmds","ModelAverage"
"284","exp_n183.bmd",0.360661441861823,"bmdl","ModelAverage"
"285","exp_n183.bmd",0.578335540589955,"bmdu","ModelAverage"
"286","exp_n184.bmd",0.233276303471368,"bmds","ModelAverage"
"287","exp_n184.bmd",0.0743638751500821,"bmdl","ModelAverage"
"288","exp_n184.bmd",0.373593075664446,"bmdu","ModelAverage"
"289","exp_n185.bmd",0.418523449020114,"bmds","ModelAverage"
"290","exp_n185.bmd",0.352350771698615,"bmdl","ModelAverage"
"291","exp_n185.bmd",0.609337862467905,"bmdu","ModelAverage"
"292","exp_n186.bmd",0.416096152073522,"bmds","ModelAverage"
"293","exp_n186.bmd",0.238524077086828,"bmdl","ModelAverage"
"294","exp_n186.bmd",0.505606851159318,"bmdu","ModelAverage"
"295","exp_n187.bmd",0.407019501147662,"bmds","ModelAverage"
"296","exp_n187.bmd",0.257355574288797,"bmdl","ModelAverage"
"297","exp_n187.bmd",0.509739004141709,"bmdu","ModelAverage"
"298","exp_n188.bmd",0.48269625810653,"bmds","ModelAverage"
"299","exp_n188.bmd",0.413584126569936,"bmdl","ModelAverage"
"300","exp_n188.bmd",0.62859146619004,"bmdu","ModelAverage"
"301","exp_n189.bmd",0.395583033210997,"bmds","ModelAverage"
"302","exp_n189.bmd",0.223613820846985,"bmdl","ModelAverage"
"303","exp_n189.bmd",0.472834328699874,"bmdu","ModelAverage"
"304","exp_n19.bmd",0.401564073416963,"bmds","ModelAverage"
"305","exp_n19.bmd",0.229936301075841,"bmdl","ModelAverage"
"306","exp_n19.bmd",0.4910738082581,"bmdu","ModelAverage"
"307","exp_n190.bmd",0.245197626919107,"bmds","ModelAverage"
"308","exp_n190.bmd",0.178842748571356,"bmdl","ModelAverage"
"309","exp_n190.bmd",0.419427032156368,"bmdu","ModelAverage"
"310","exp_n191.bmd",0.384116523164607,"bmds","ModelAverage"
"311","exp_n191.bmd",0.209032800423255,"bmdl","ModelAverage"
"312","exp_n191.bmd",0.462723031641097,"bmdu","ModelAverage"
"313","exp_n192.bmd",0.252665861700664,"bmds","ModelAverage"
"314","exp_n192.bmd",0.154350282222019,"bmdl","ModelAverage"
"315","exp_n192.bmd",0.435380960105346,"bmdu","ModelAverage"
"316","exp_n193.bmd",0.228321885213472,"bmds","ModelAverage"
"317","exp_n193.bmd",0.15733825235268,"bmdl","ModelAverage"
"318","exp_n193.bmd",0.400372478176888,"bmdu","ModelAverage"
"319","exp_n194.bmd",0.688979988000348,"bmds","ModelAverage"
"320","exp_n194.bmd",0.625091143062347,"bmdl","ModelAverage"
"321","exp_n194.bmd",0.747462996588207,"bmdu","ModelAverage"
"322","exp_n195.bmd",0.436249917083316,"bmds","ModelAverage"
"323","exp_n195.bmd",0.379819861827217,"bmdl","ModelAverage"
"324","exp_n195.bmd",0.598601427484124,"bmdu","ModelAverage"
"325","exp_n196.bmd",0.247435807556531,"bmds","ModelAverage"
"326","exp_n196.bmd",0.183862815234503,"bmdl","ModelAverage"
"327","exp_n196.bmd",0.429974491381492,"bmdu","ModelAverage"
"328","exp_n197.bmd",0.244186928092289,"bmds","ModelAverage"
"329","exp_n197.bmd",0.117282374571837,"bmdl","ModelAverage"
"330","exp_n197.bmd",0.447394413872604,"bmdu","ModelAverage"
"331","exp_n198.bmd",0.419458108069938,"bmds","ModelAverage"
"332","exp_n198.bmd",0.217531060243073,"bmdl","ModelAverage"
"333","exp_n198.bmd",0.492738632760254,"bmdu","ModelAverage"
"334","exp_n199.bmd",0.248322218843075,"bmds","ModelAverage"
"335","exp_n199.bmd",0.163131179800924,"bmdl","ModelAverage"
"336","exp_n199.bmd",0.4344373807017,"bmdu","ModelAverage"
"337","exp_n2.bmd",0.474769756311957,"bmds","ModelAverage"
"338","exp_n2.bmd",0.380451041526045,"bmdl","ModelAverage"
"339","exp_n2.bmd",0.650381407107027,"bmdu","ModelAverage"
"340","exp_n20.bmd",0.411396377898698,"bmds","ModelAverage"
"341","exp_n20.bmd",0.25263721583462,"bmdl","ModelAverage"
"342","exp_n20.bmd",0.529323014336011,"bmdu","ModelAverage"
"343","exp_n200.bmd",0.236809551283246,"bmds","ModelAverage"
"344","exp_n200.bmd",0.181912302240248,"bmdl","ModelAverage"
"345","exp_n200.bmd",0.427830844119625,"bmdu","ModelAverage"
"346","exp_n201.bmd",0.423383275029699,"bmds","ModelAverage"
"347","exp_n201.bmd",0.371399997343439,"bmdl","ModelAverage"
"348","exp_n201.bmd",0.585442718373947,"bmdu","ModelAverage"
"349","exp_n202.bmd",0.219827810563912,"bmds","ModelAverage"
"350","exp_n202.bmd",0.0955477491095969,"bmdl","ModelAverage"
"351","exp_n202.bmd",0.390716943716399,"bmdu","ModelAverage"
"352","exp_n203.bmd",0.359684005306001,"bmds","ModelAverage"
"353","exp_n203.bmd",0.197152590409608,"bmdl","ModelAverage"
"354","exp_n203.bmd",0.437478648828038,"bmdu","ModelAverage"
"355","exp_n204.bmd",0.224293904780886,"bmds","ModelAverage"
"356","exp_n204.bmd",0.153350496082111,"bmdl","ModelAverage"
"357","exp_n204.bmd",0.413914582852387,"bmdu","ModelAverage"
"358","exp_n205.bmd",0.362537221686568,"bmds","ModelAverage"
"359","exp_n205.bmd",0.202955472367127,"bmdl","ModelAverage"
"360","exp_n205.bmd",0.437041646780424,"bmdu","ModelAverage"
"361","exp_n206.bmd",0.394388472625468,"bmds","ModelAverage"
"362","exp_n206.bmd",0.225986164011152,"bmdl","ModelAverage"
"363","exp_n206.bmd",0.480842098177226,"bmdu","ModelAverage"
"364","exp_n207.bmd",0.39401192000409,"bmds","ModelAverage"
"365","exp_n207.bmd",0.218785743473861,"bmdl","ModelAverage"
"366","exp_n207.bmd",0.4793903105401,"bmdu","ModelAverage"
"367","exp_n208.bmd",0.298245462696943,"bmds","ModelAverage"
"368","exp_n208.bmd",0.194525512746338,"bmdl","ModelAverage"
"369","exp_n208.bmd",0.424559165752272,"bmdu","ModelAverage"
"370","exp_n209.bmd",0.418638074622755,"bmds","ModelAverage"
"371","exp_n209.bmd",0.238640319847824,"bmdl","ModelAverage"
"372","exp_n209.bmd",0.516246239455545,"bmdu","ModelAverage"
"373","exp_n21.bmd",0.453161329877551,"bmds","ModelAverage"
"374","exp_n21.bmd",0.39446247411993,"bmdl","ModelAverage"
"375","exp_n21.bmd",0.596750132421494,"bmdu","ModelAverage"
"376","exp_n210.bmd",0.370304443807915,"bmds","ModelAverage"
"377","exp_n210.bmd",0.19914745147255,"bmdl","ModelAverage"
"378","exp_n210.bmd",0.45136145162173,"bmdu","ModelAverage"
"379","exp_n211.bmd",0.4064350844361,"bmds","ModelAverage"
"380","exp_n211.bmd",0.242524952542731,"bmdl","ModelAverage"
"381","exp_n211.bmd",0.508958567294679,"bmdu","ModelAverage"
"382","exp_n212.bmd",0.426376047546804,"bmds","ModelAverage"
"383","exp_n212.bmd",0.322598173770377,"bmdl","ModelAverage"
"384","exp_n212.bmd",0.533705963477795,"bmdu","ModelAverage"
"385","exp_n213.bmd",0.423007443504548,"bmds","ModelAverage"
"386","exp_n213.bmd",0.229124238937326,"bmdl","ModelAverage"
"387","exp_n213.bmd",0.497759653804589,"bmdu","ModelAverage"
"388","exp_n214.bmd",0.386494583966209,"bmds","ModelAverage"
"389","exp_n214.bmd",0.218156117945661,"bmdl","ModelAverage"
"390","exp_n214.bmd",0.462615721248067,"bmdu","ModelAverage"
